setid,Temperature (K),Pressure (kPa),Density (kg/m3),reference,phases,Mole fraction,Mole fraction of compound name,Weight fraction,Weight fraction of compound name,IL_SMILES,IL_name,IL_ID,Solvent_SMILES,Solvent_name,Solvent_ID,IL_cation_SMILES,IL_anion_SMILES,IL_component_number,Mole fraction of solvent,IL_MW,Solvent_MW,Record_ID,Contains_Metal,Standardized_IL_SMILES,Changes
MLKyC,283.15,101.0,1122.9,Mokhtarani et al. (2008),Liquid,0.919,ethanol,,,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,ABCNhW,CCO,ethanol,AAIsrh,CCCCCCCCn1cc[n+](C)c1,F[B-](F)(F)F,2,0.081,,,1,False,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,No changes
MLKyC,288.15,101.0,1119.4,Mokhtarani et al. (2008),Liquid,0.919,ethanol,,,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,ABCNhW,CCO,ethanol,AAIsrh,CCCCCCCCn1cc[n+](C)c1,F[B-](F)(F)F,2,0.081,,,2,False,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,No changes
MLKyC,293.15,101.0,1115.9,Mokhtarani et al. (2008),Liquid,0.919,ethanol,,,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,ABCNhW,CCO,ethanol,AAIsrh,CCCCCCCCn1cc[n+](C)c1,F[B-](F)(F)F,2,0.081,,,3,False,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,No changes
MLKyC,298.15,101.0,1112.4,Mokhtarani et al. (2008),Liquid,0.919,ethanol,,,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,ABCNhW,CCO,ethanol,AAIsrh,CCCCCCCCn1cc[n+](C)c1,F[B-](F)(F)F,2,0.081,,,4,False,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,No changes
MLKyC,303.15,101.0,1108.9,Mokhtarani et al. (2008),Liquid,0.919,ethanol,,,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,ABCNhW,CCO,ethanol,AAIsrh,CCCCCCCCn1cc[n+](C)c1,F[B-](F)(F)F,2,0.081,,,5,False,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,No changes
MLKyC,308.15,101.0,1105.5,Mokhtarani et al. (2008),Liquid,0.919,ethanol,,,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,ABCNhW,CCO,ethanol,AAIsrh,CCCCCCCCn1cc[n+](C)c1,F[B-](F)(F)F,2,0.081,,,6,False,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,No changes
MLKyC,313.15,101.0,1102.2,Mokhtarani et al. (2008),Liquid,0.919,ethanol,,,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,ABCNhW,CCO,ethanol,AAIsrh,CCCCCCCCn1cc[n+](C)c1,F[B-](F)(F)F,2,0.081,,,7,False,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,No changes
MLKyC,318.15,101.0,1098.8,Mokhtarani et al. (2008),Liquid,0.919,ethanol,,,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,ABCNhW,CCO,ethanol,AAIsrh,CCCCCCCCn1cc[n+](C)c1,F[B-](F)(F)F,2,0.081,,,8,False,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,No changes
MLKyC,323.15,101.0,1095.4,Mokhtarani et al. (2008),Liquid,0.919,ethanol,,,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,ABCNhW,CCO,ethanol,AAIsrh,CCCCCCCCn1cc[n+](C)c1,F[B-](F)(F)F,2,0.081,,,9,False,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,No changes
MLKyC,328.15,101.0,1092.1,Mokhtarani et al. (2008),Liquid,0.919,ethanol,,,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,ABCNhW,CCO,ethanol,AAIsrh,CCCCCCCCn1cc[n+](C)c1,F[B-](F)(F)F,2,0.081,,,10,False,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,No changes
