setid,Temperature (K),Pressure (kPa),Wavelength (nm),Refractive index (Na D-line),reference,phases,Mole fraction,Compound (mole fraction),Weight fraction,Compound (weight fraction),IL_SMILES,IL_name,IL_ID,Solvent_SMILES,Solvent_name,Solvent_ID,IL_cation_SMILES,IL_anion_SMILES,IL_component_number,Mole fraction of solvent,IL_MW,Solvent_MW,Record_ID,Contains_Metal,Standardized_IL_SMILES,Changes
fGVHS,293.15,101.0,,1.36169,Taib et al. (2012),Liquid,0.0,3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,ABDCBp,CCO,ethanol,AAIsrh,CCCCCC[n+]1ccn(CCC#N)c1,[Br-],2,,,,1,False,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],No changes
fGVHS,293.15,101.0,,1.39603,Taib et al. (2012),Liquid,0.0523,3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,ABDCBp,CCO,ethanol,AAIsrh,CCCCCC[n+]1ccn(CCC#N)c1,[Br-],2,,,,2,False,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],No changes
fGVHS,293.15,101.0,,1.42225,Taib et al. (2012),Liquid,0.1045,3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,ABDCBp,CCO,ethanol,AAIsrh,CCCCCC[n+]1ccn(CCC#N)c1,[Br-],2,,,,3,False,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],No changes
fGVHS,293.15,101.0,,1.45258,Taib et al. (2012),Liquid,0.2014,3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,ABDCBp,CCO,ethanol,AAIsrh,CCCCCC[n+]1ccn(CCC#N)c1,[Br-],2,,,,4,False,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],No changes
fGVHS,293.15,101.0,,1.47272,Taib et al. (2012),Liquid,0.2925,3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,ABDCBp,CCO,ethanol,AAIsrh,CCCCCC[n+]1ccn(CCC#N)c1,[Br-],2,,,,5,False,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],No changes
fGVHS,293.15,101.0,,1.49017,Taib et al. (2012),Liquid,0.4024,3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,ABDCBp,CCO,ethanol,AAIsrh,CCCCCC[n+]1ccn(CCC#N)c1,[Br-],2,,,,6,False,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],No changes
fGVHS,293.15,101.0,,1.49936,Taib et al. (2012),Liquid,0.4781,3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,ABDCBp,CCO,ethanol,AAIsrh,CCCCCC[n+]1ccn(CCC#N)c1,[Br-],2,,,,7,False,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],No changes
fGVHS,293.15,101.0,,1.50945,Taib et al. (2012),Liquid,0.578,3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,ABDCBp,CCO,ethanol,AAIsrh,CCCCCC[n+]1ccn(CCC#N)c1,[Br-],2,,,,8,False,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],No changes
fGVHS,293.15,101.0,,1.51735,Taib et al. (2012),Liquid,0.6822,3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,ABDCBp,CCO,ethanol,AAIsrh,CCCCCC[n+]1ccn(CCC#N)c1,[Br-],2,,,,9,False,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],No changes
fGVHS,293.15,101.0,,1.52393,Taib et al. (2012),Liquid,0.7926,3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,ABDCBp,CCO,ethanol,AAIsrh,CCCCCC[n+]1ccn(CCC#N)c1,[Br-],2,,,,10,False,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],No changes
fGVHS,293.15,101.0,,1.52627,Taib et al. (2012),Liquid,0.8593,3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,ABDCBp,CCO,ethanol,AAIsrh,CCCCCC[n+]1ccn(CCC#N)c1,[Br-],2,,,,11,False,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],No changes
fGVHS,293.15,101.0,,1.52887,Taib et al. (2012),Liquid,0.9321,3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,ABDCBp,CCO,ethanol,AAIsrh,CCCCCC[n+]1ccn(CCC#N)c1,[Br-],2,,,,12,False,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],No changes
fGVHS,293.15,101.0,,1.5307,Taib et al. (2012),Liquid,1.0,3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,ABDCBp,CCO,ethanol,AAIsrh,CCCCCC[n+]1ccn(CCC#N)c1,[Br-],2,,,,13,False,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],No changes
fGVHS,298.15,101.0,,1.35929,Taib et al. (2012),Liquid,0.0,3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,ABDCBp,CCO,ethanol,AAIsrh,CCCCCC[n+]1ccn(CCC#N)c1,[Br-],2,,,,14,False,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],No changes
fGVHS,298.15,101.0,,1.39377,Taib et al. (2012),Liquid,0.0523,3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,,,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],3-(2-cyanoethyl)-1-hexyl-1H-imidazolium bromide,ABDCBp,CCO,ethanol,AAIsrh,CCCCCC[n+]1ccn(CCC#N)c1,[Br-],2,,,,15,False,CCCCCC[n+]1ccn(CCC#N)c1.[Br-],No changes
