setid,Temperature (K),Pressure (kPa),Wavelength (nm),Refractive index (Na D-line),reference,phases,Mole fraction,Compound (mole fraction),Weight fraction,Compound (weight fraction),IL_SMILES,IL_name,IL_ID,Solvent_SMILES,Solvent_name,Solvent_ID,IL_cation_SMILES,IL_anion_SMILES,IL_component_number,Mole fraction of solvent,IL_MW,Solvent_MW,Record_ID,Contains_Metal,Standardized_IL_SMILES,Changes
RuyVY,288.15,101.0,,1.3794,Vercher et al. (2018),Liquid,0.0,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,ABEBwg,CC(C)O,propan-2-ol,AALcwx,CCCC[N+]1(C)CCCC1,O=S(=O)([O-])C(F)(F)F,2,,,,1,False,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,No changes
RuyVY,288.15,101.0,,1.3841,Vercher et al. (2018),Liquid,0.0261,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,ABEBwg,CC(C)O,propan-2-ol,AALcwx,CCCC[N+]1(C)CCCC1,O=S(=O)([O-])C(F)(F)F,2,,,,2,False,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,No changes
RuyVY,288.15,101.0,,1.388,Vercher et al. (2018),Liquid,0.0502,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,ABEBwg,CC(C)O,propan-2-ol,AALcwx,CCCC[N+]1(C)CCCC1,O=S(=O)([O-])C(F)(F)F,2,,,,3,False,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,No changes
RuyVY,288.15,101.0,,1.3949,Vercher et al. (2018),Liquid,0.1,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,ABEBwg,CC(C)O,propan-2-ol,AALcwx,CCCC[N+]1(C)CCCC1,O=S(=O)([O-])C(F)(F)F,2,,,,4,False,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,No changes
RuyVY,288.15,101.0,,1.4006,Vercher et al. (2018),Liquid,0.1499,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,ABEBwg,CC(C)O,propan-2-ol,AALcwx,CCCC[N+]1(C)CCCC1,O=S(=O)([O-])C(F)(F)F,2,,,,5,False,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,No changes
RuyVY,288.15,101.0,,1.4053,Vercher et al. (2018),Liquid,0.2003,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,ABEBwg,CC(C)O,propan-2-ol,AALcwx,CCCC[N+]1(C)CCCC1,O=S(=O)([O-])C(F)(F)F,2,,,,6,False,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,No changes
RuyVY,288.15,101.0,,1.4128,Vercher et al. (2018),Liquid,0.3001,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,ABEBwg,CC(C)O,propan-2-ol,AALcwx,CCCC[N+]1(C)CCCC1,O=S(=O)([O-])C(F)(F)F,2,,,,7,False,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,No changes
RuyVY,288.15,101.0,,1.4184,Vercher et al. (2018),Liquid,0.3997,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,ABEBwg,CC(C)O,propan-2-ol,AALcwx,CCCC[N+]1(C)CCCC1,O=S(=O)([O-])C(F)(F)F,2,,,,8,False,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,No changes
RuyVY,288.15,101.0,,1.4228,Vercher et al. (2018),Liquid,0.4991,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,ABEBwg,CC(C)O,propan-2-ol,AALcwx,CCCC[N+]1(C)CCCC1,O=S(=O)([O-])C(F)(F)F,2,,,,9,False,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,No changes
RuyVY,288.15,101.0,,1.4263,Vercher et al. (2018),Liquid,0.6003,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,ABEBwg,CC(C)O,propan-2-ol,AALcwx,CCCC[N+]1(C)CCCC1,O=S(=O)([O-])C(F)(F)F,2,,,,10,False,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,No changes
RuyVY,288.15,101.0,,1.4292,Vercher et al. (2018),Liquid,0.7012,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,ABEBwg,CC(C)O,propan-2-ol,AALcwx,CCCC[N+]1(C)CCCC1,O=S(=O)([O-])C(F)(F)F,2,,,,11,False,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,No changes
RuyVY,288.15,101.0,,1.4316,Vercher et al. (2018),Liquid,0.7991,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,ABEBwg,CC(C)O,propan-2-ol,AALcwx,CCCC[N+]1(C)CCCC1,O=S(=O)([O-])C(F)(F)F,2,,,,12,False,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,No changes
RuyVY,288.15,101.0,,1.4327,Vercher et al. (2018),Liquid,0.8475,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,ABEBwg,CC(C)O,propan-2-ol,AALcwx,CCCC[N+]1(C)CCCC1,O=S(=O)([O-])C(F)(F)F,2,,,,13,False,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,No changes
RuyVY,288.15,101.0,,1.4337,Vercher et al. (2018),Liquid,0.8986,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,ABEBwg,CC(C)O,propan-2-ol,AALcwx,CCCC[N+]1(C)CCCC1,O=S(=O)([O-])C(F)(F)F,2,,,,14,False,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,No changes
RuyVY,288.15,101.0,,1.4346,Vercher et al. (2018),Liquid,0.948,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,ABEBwg,CC(C)O,propan-2-ol,AALcwx,CCCC[N+]1(C)CCCC1,O=S(=O)([O-])C(F)(F)F,2,,,,15,False,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,No changes
