setid,Temperature (K),Pressure (kPa),Wavelength (nm),Refractive index (Na D-line),reference,phases,IL_ID,IL_SMILES,IL_name,IL_cation_SMILES,IL_anion_SMILES,IL_component_number,Record_ID,Contains_Metal,Standardized_IL_SMILES,Changes
WcalM,293.2,100.0,589.2,1.4267,Rives et al. (2021),Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,Cn1cc[n+](CCO)c1,F[B-](F)(F)F,2,1,False,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,No changes
WcalM,298.2,100.0,589.2,1.4252,Rives et al. (2021),Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,Cn1cc[n+](CCO)c1,F[B-](F)(F)F,2,2,False,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,No changes
WcalM,303.2,100.0,589.2,1.4243,Rives et al. (2021),Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,Cn1cc[n+](CCO)c1,F[B-](F)(F)F,2,3,False,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,No changes
WcalM,308.2,100.0,589.2,1.4233,Rives et al. (2021),Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,Cn1cc[n+](CCO)c1,F[B-](F)(F)F,2,4,False,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,No changes
WcalM,313.2,100.0,589.2,1.4221,Rives et al. (2021),Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,Cn1cc[n+](CCO)c1,F[B-](F)(F)F,2,5,False,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,No changes
WcalM,318.2,100.0,589.2,1.4211,Rives et al. (2021),Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,Cn1cc[n+](CCO)c1,F[B-](F)(F)F,2,6,False,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,No changes
WcalM,323.2,100.0,589.2,1.4198,Rives et al. (2021),Liquid,AApHVR,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,Cn1cc[n+](CCO)c1,F[B-](F)(F)F,2,7,False,Cn1cc[n+](CCO)c1.F[B-](F)(F)F,No changes
uvBYJ,298.15,100.0,589.6,1.4117,Arosa et al. (2018),Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,CC[n+]1ccn(C)c1,F[B-](F)(F)F,2,8,False,CC[n+]1ccn(C)c1.F[B-](F)(F)F,No changes
uvBYJ,303.15,100.0,589.6,1.4104,Arosa et al. (2018),Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,CC[n+]1ccn(C)c1,F[B-](F)(F)F,2,9,False,CC[n+]1ccn(C)c1.F[B-](F)(F)F,No changes
uvBYJ,308.15,100.0,589.6,1.4091,Arosa et al. (2018),Liquid,AAmDom,CC[n+]1ccn(C)c1.F[B-](F)(F)F,1-ethyl-3-methylimidazolium tetrafluoroborate,CC[n+]1ccn(C)c1,F[B-](F)(F)F,2,10,False,CC[n+]1ccn(C)c1.F[B-](F)(F)F,No changes
