setid,Temperature (K),Pressure (kPa),Wavelength (nm),Refractive index (Na D-line),reference,phases,Mole fraction,Compound (mole fraction),Weight fraction,Compound (weight fraction),IL_SMILES,IL_name,IL_ID,Solvent_SMILES,Solvent_name,Solvent_ID,IL_cation_SMILES,IL_anion_SMILES,IL_component_number,Mole fraction of solvent,IL_MW,Solvent_MW,Record_ID,Contains_Metal,Standardized_IL_SMILES,Changes
tJbEr,293.15,101.0,,1.36903,Chaudhary et al. (2014b),Liquid,0.0258,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,C[N+](C)(C)CCO.C[C@H](O)C(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",AAlIwx,O,water,AADYJk,C[N+](C)(C)CCO,C[C@H](O)C(=O)[O-],2,,,,1,False,C[N+](C)(C)CCO.CC(O)C(=O)[O-],Stereo removed
tJbEr,293.15,101.0,,1.39091,Chaudhary et al. (2014b),Liquid,0.0511,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,C[N+](C)(C)CCO.C[C@H](O)C(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",AAlIwx,O,water,AADYJk,C[N+](C)(C)CCO,C[C@H](O)C(=O)[O-],2,,,,2,False,C[N+](C)(C)CCO.CC(O)C(=O)[O-],Stereo removed
tJbEr,293.15,101.0,,1.41121,Chaudhary et al. (2014b),Liquid,0.074,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,C[N+](C)(C)CCO.C[C@H](O)C(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",AAlIwx,O,water,AADYJk,C[N+](C)(C)CCO,C[C@H](O)C(=O)[O-],2,,,,3,False,C[N+](C)(C)CCO.CC(O)C(=O)[O-],Stereo removed
tJbEr,293.15,101.0,,1.41982,Chaudhary et al. (2014b),Liquid,0.1027,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,C[N+](C)(C)CCO.C[C@H](O)C(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",AAlIwx,O,water,AADYJk,C[N+](C)(C)CCO,C[C@H](O)C(=O)[O-],2,,,,4,False,C[N+](C)(C)CCO.CC(O)C(=O)[O-],Stereo removed
tJbEr,293.15,101.0,,1.43901,Chaudhary et al. (2014b),Liquid,0.1965,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,C[N+](C)(C)CCO.C[C@H](O)C(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",AAlIwx,O,water,AADYJk,C[N+](C)(C)CCO,C[C@H](O)C(=O)[O-],2,,,,5,False,C[N+](C)(C)CCO.CC(O)C(=O)[O-],Stereo removed
tJbEr,293.15,101.0,,1.45194,Chaudhary et al. (2014b),Liquid,0.2957,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,C[N+](C)(C)CCO.C[C@H](O)C(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",AAlIwx,O,water,AADYJk,C[N+](C)(C)CCO,C[C@H](O)C(=O)[O-],2,,,,6,False,C[N+](C)(C)CCO.CC(O)C(=O)[O-],Stereo removed
tJbEr,293.15,101.0,,1.46075,Chaudhary et al. (2014b),Liquid,0.416,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,C[N+](C)(C)CCO.C[C@H](O)C(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",AAlIwx,O,water,AADYJk,C[N+](C)(C)CCO,C[C@H](O)C(=O)[O-],2,,,,7,False,C[N+](C)(C)CCO.CC(O)C(=O)[O-],Stereo removed
tJbEr,293.15,101.0,,1.46916,Chaudhary et al. (2014b),Liquid,0.5184,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,C[N+](C)(C)CCO.C[C@H](O)C(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",AAlIwx,O,water,AADYJk,C[N+](C)(C)CCO,C[C@H](O)C(=O)[O-],2,,,,8,False,C[N+](C)(C)CCO.CC(O)C(=O)[O-],Stereo removed
tJbEr,293.15,101.0,,1.46974,Chaudhary et al. (2014b),Liquid,0.5347,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,C[N+](C)(C)CCO.C[C@H](O)C(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",AAlIwx,O,water,AADYJk,C[N+](C)(C)CCO,C[C@H](O)C(=O)[O-],2,,,,9,False,C[N+](C)(C)CCO.CC(O)C(=O)[O-],Stereo removed
tJbEr,293.15,101.0,,1.47013,Chaudhary et al. (2014b),Liquid,0.6044,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,C[N+](C)(C)CCO.C[C@H](O)C(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",AAlIwx,O,water,AADYJk,C[N+](C)(C)CCO,C[C@H](O)C(=O)[O-],2,,,,10,False,C[N+](C)(C)CCO.CC(O)C(=O)[O-],Stereo removed
tJbEr,293.15,101.0,,1.47355,Chaudhary et al. (2014b),Liquid,0.6931,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,C[N+](C)(C)CCO.C[C@H](O)C(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",AAlIwx,O,water,AADYJk,C[N+](C)(C)CCO,C[C@H](O)C(=O)[O-],2,,,,11,False,C[N+](C)(C)CCO.CC(O)C(=O)[O-],Stereo removed
tJbEr,293.15,101.0,,1.47251,Chaudhary et al. (2014b),Liquid,0.7801,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,C[N+](C)(C)CCO.C[C@H](O)C(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",AAlIwx,O,water,AADYJk,C[N+](C)(C)CCO,C[C@H](O)C(=O)[O-],2,,,,12,False,C[N+](C)(C)CCO.CC(O)C(=O)[O-],Stereo removed
tJbEr,293.15,101.0,,1.47481,Chaudhary et al. (2014b),Liquid,0.8279,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,C[N+](C)(C)CCO.C[C@H](O)C(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",AAlIwx,O,water,AADYJk,C[N+](C)(C)CCO,C[C@H](O)C(=O)[O-],2,,,,13,False,C[N+](C)(C)CCO.CC(O)C(=O)[O-],Stereo removed
tJbEr,293.15,101.0,,1.48014,Chaudhary et al. (2014b),Liquid,0.8996,"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",,,C[N+](C)(C)CCO.C[C@H](O)C(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium (S)-2-hydroxypropanoate",AAlIwx,O,water,AADYJk,C[N+](C)(C)CCO,C[C@H](O)C(=O)[O-],2,,,,14,False,C[N+](C)(C)CCO.CC(O)C(=O)[O-],Stereo removed
