property,id,short
activity,BPpY,a
osmotic-coefficient,VjHv,phi
composition-at-phase-equilibrium,dNip,Xpeq
eutectic-composition,MbEq,Xeut
henrys-law-constant,lIUh,Hc
ostwald-coefficient,eCTp,L
tieline,neae,tline
upper-consolute-composition,WbZo,Xucon
critical-pressure,BPNz,Pc
critical-temperature,rDNz,Tc
lower-consolute-temperature,qpSz,
upper-consolute-pressure,MvMG,Pucon
upper-consolute-temperature,bRXE,Tucon
apparent-enthalpy,cpbY,Hap
apparent-molar-heat-capacity,teHk,capm
enthalpy-of-dilution,rTYh,Hdil
enthalpy-of-mixing-of-a-binary-solvent-with-component,aeiA,Hmix
enthalpy-of-solution,VTiT,
excess-enthalpy,brzp,Hex
partial-molar-enthalpy,Sqxi,Hpm
partial-molar-heat-capacity,mFmK,
enthalpy,tnYd,H
enthalpy-function,kthO,HvT
entropy,qdUt,S
heat-capacity-at-constant-pressure,IZSt,cp
heat-capacity-at-constant-volume,KvgF,cv
heat-capacity-at-vapor-saturation-pressure,zJIE,cpe
enthalpy-of-transition-or-fusion,CXUw,Hfus
enthalpy-of-vaporization-or-sublimation,iaOF,Hvap
equilibrium-pressure,SwyC,Peq
equilibrium-temperature,ghKa,Teq
eutectic-temperature,lnrs,Teut
monotectic-temperature,LUaF,Tmot
normal-melting-temperature,NmYB,Tm
interfacial-tension,YQDr,s
refractive-index,bNnk,n
relative-permittivity,imdq,rperm
speed-of-sound,NlQd,sos
surface-tension-liquid-gas,ETUw,slg
binary-diffusion-coefficient,HooV,
electrical-conductivity,Ylwl,econd
self-diffusion-coefficient,jjnq,Dself
thermal-conductivity,pAFI,Tcond
thermal-diffusivity,KTcm,Dterm
tracer-diffusion-coefficient,vBeU,Dtrac
viscosity,PusA,visc
normal-boiling-temperature,hkog,Tb
vapor-or-sublimation-pressure,HwfJ,
adiabatic-compressibility,WxCH,kS
apparent-molar-volume,zNjL,Vapm
density,JkYu,dens
excess-volume,psRu,Vex
isobaric-coefficient-of-volume-expansion,hXfd,aV
isothermal-compressibility,Bvon,kT
partial-molar-volume,LNxL,Vpm
